vin,service_date,service_type
VIN0000,2026-03-02,Oil Change
VIN0000,2026-03-27,Oil Change
VIN0001,2026-01-20,Tire Replacement
VIN0002,2026-01-11,Tire Replacement
VIN0002,2026-03-29,Engine
VIN0002,2026-01-21,Tire Replacement
VIN0003,2026-01-20,Brake Service
VIN0003,2026-03-01,General Inspection
VIN0004,2026-01-18,Tire Replacement
VIN0004,2026-02-18,Oil Change
VIN0005,2026-02-07,Oil Change
VIN0006,2026-03-14,Tire Replacement
VIN0006,2026-02-26,General Inspection
VIN0007,2026-03-08,Tire Replacement
VIN0007,2026-02-15,Tire Replacement
VIN0007,2026-01-30,Engine
VIN0008,2026-01-15,Engine
VIN0009,2026-01-14,Brake Service
VIN0009,2026-01-15,Oil Change
VIN0009,2026-03-16,Oil Change
VIN0010,2026-02-19,Oil Change
VIN0010,2026-01-06,Engine
VIN0010,2026-02-02,Oil Change
VIN0011,2026-01-24,Tire Replacement
VIN0012,2026-03-28,General Inspection
VIN0012,2026-01-14,Engine
VIN0013,2026-02-27,Tire Replacement
VIN0013,2026-03-07,Engine
VIN0013,2026-03-18,Oil Change
VIN0014,2026-02-07,Tire Replacement
VIN0014,2026-01-18,General Inspection
VIN0015,2026-02-13,Tire Replacement
VIN0015,2026-03-17,Oil Change
VIN0016,2026-01-28,Oil Change
VIN0016,2026-01-14,Brake Service
VIN0016,2026-03-06,Oil Change
VIN0017,2026-03-13,Tire Replacement
VIN0018,2026-03-28,Engine
VIN0018,2026-03-17,Brake Service
VIN0019,2026-03-01,Tire Replacement
VIN0020,2026-02-22,Brake Service
VIN0021,2026-03-23,Engine
VIN0021,2026-02-15,Engine
VIN0022,2026-03-21,General Inspection
VIN0022,2026-01-13,Brake Service
VIN0022,2026-02-05,General Inspection
VIN0023,2026-01-22,Tire Replacement
VIN0023,2026-03-12,Oil Change
VIN0024,2026-03-31,Oil Change
VIN0025,2026-03-18,General Inspection
VIN0025,2026-01-04,General Inspection
VIN0025,2026-01-14,General Inspection
VIN0026,2026-02-04,General Inspection
VIN0027,2026-02-26,Brake Service
VIN0028,2026-02-04,Oil Change
VIN0029,2026-02-17,Tire Replacement
VIN0030,2026-03-12,Brake Service
VIN0030,2026-02-20,Brake Service
VIN0030,2026-03-22,Brake Service
VIN0031,2026-02-10,Engine
VIN0031,2026-01-23,General Inspection
VIN0032,2026-03-08,General Inspection
VIN0032,2026-01-08,Engine
VIN0032,2026-02-23,General Inspection
VIN0033,2026-02-14,Oil Change
VIN0034,2026-01-25,General Inspection
VIN0034,2026-01-27,General Inspection
VIN0035,2026-03-05,Oil Change
VIN0035,2026-02-14,Engine
VIN0035,2026-01-07,Brake Service
VIN0036,2026-02-16,Engine
VIN0036,2026-02-24,Oil Change
VIN0036,2026-03-03,Tire Replacement
VIN0037,2026-02-06,Engine
VIN0038,2026-01-17,Engine
VIN0038,2026-03-24,General Inspection
VIN0038,2026-03-18,Engine
VIN0039,2026-02-05,Oil Change
VIN0039,2026-03-09,Engine
VIN0040,2026-03-02,Brake Service
VIN0041,2026-03-31,Brake Service
VIN0041,2026-01-24,Engine
VIN0042,2026-03-31,General Inspection
VIN0043,2026-02-04,General Inspection
VIN0044,2026-03-23,Engine
VIN0045,2026-03-10,Oil Change
VIN0045,2026-01-21,General Inspection
VIN0045,2026-02-24,General Inspection
VIN0046,2026-02-13,General Inspection
VIN0047,2026-03-22,General Inspection
VIN0047,2026-01-06,General Inspection
VIN0048,2026-02-17,Brake Service
VIN0048,2026-02-25,Brake Service
VIN0049,2026-01-21,General Inspection
VIN0049,2026-01-04,General Inspection
